"Data Source","World Development Indicators",

"Last Updated Date","2019-10-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Botswana","BWA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7099010654.56772","7886482616.84297","8301505298.0607","8661025674.53895","9166895788.18541","10017093964.0372","10795179387.2134","11895624092.5111","12082882322.7801","13442281511.5231","14015944948.6509","14359264869.6107","15471720120.648","16488041520.5339","17390082539.5674","18748860966.2678","20931825266.7998","23273129382.7146","25207603788.5705","23456104459.1062","25761527575.0726","27890347804.021","29691918901.7173","33640174364.5995","35698845804.3833","35467952448.8821","37398956043.6553","39217883523.7613","41888348037.9794",
"Central African Republic","CAF","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1789778509.66229","1840080718.16316","1761112390.42672","1808882556.61198","1938036058.95791","2121138791.64305","2073576389.37131","2221126252.43879","2351696577.90123","2471533271.1141","2463881190.18751","2630343346.16961","2768581312.32851","2667787608.65421","2903846564.51031","3021494255.52616","3261451445.70348","3503372377.36097","3644881234.25971","3988049550.40946","4221351630.16246","4490299877.39254","4807698240.62301","3129093438.72985","3192031303.27428","3373368753.78708","3580984631.45276","3811699726.90572","4066847512.47704",
"Canada","CAN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","558639235991.033","565254822328.46","583241220049.607","612913183089.178","654130180279.828","685729009928.918","709534832506.255","752658535833.924","790676663567.942","843508200300.636","898020479483.858","933966675428.964","967558830682.98","1019730451626.06","1079498291362.09","1167581267653.45","1237673297916.9","1297136794657.57","1339060588630.82","1304713188102.99","1360616928113.19","1427466965184.4","1464565119752.66","1550271241830.07","1617561717808.96","1591202432043.49","1625347343803.71","1707282552959.01","1782786420987.94",
"Central Europe and the Baltics","CEB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","784567523765.392","733674857467.775","734869520102.595","764233098974.73","812680718042.224","874487626138.589","917145639136.62","949949916999.185","991523597461.639","1022593794211.38","1084709423917.78","1161131609660.01","1241751809203.57","1311571376652.06","1429599065231.5","1514495112417.81","1678865378765.84","1866639428219.61","2062949260317.22","2061031056027.84","2164019036436.19","2305755602635.64","2384892872731.36","2484839203720.66","2584260850527.49","2688449752919.9","2815031143184.03","3042910456242.44","3196610371073.48",
"Switzerland","CHE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","185312275839.254","189824592467.693","194065583214.187","198413237030.893","205223343817.04","210534072468.543","215989021860.776","225515933269.121","234051222601.647","241567478128.904","256869792227.498","265899722913.995","274768529150.29","276778448197.043","289451581924.34","301740587045.255","337573439807.861","375640549968.897","402150962828.414","400890773391.574","415249818405.529","444548844577.953","462615082063.583","486238586276.179","506895080284.078","529567951995.053","537701102934.591","560353822653.806","579940641862.271",
"Channel Islands","CHI","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59884081815.8211","66835784908.9752","77143487636.6557","85334370927.3867","93055582546.1125","105725664939.662","116867753130.971","127713472544.085","134736168100.906","136118235740.125","146574191533.23","154736780240.43","162067996130.363","171831210849.526","189179007135.444","206274402670.143","257648250741.941","280051852457.153","275716447509.986","272874099668.727","309886433252.476","350575241993.673","374241571983.029","394291936706.766","404667282590.144","407688861062.802","416516942199.23","447887103478.787","472396758342.687",
"China","CHN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1121155451519.38","1266795052919.94","1479857886789.86","1725002532033.69","1991795744502.97","2256219485935.38","2525639051539.16","2806347033018.5","3060359277394.57","3342585396242.67","3707489039590.09","4104793412249.08","4550444024485.68","5100095294900.25","5766965964817.27","6624265255261.52","7692799061856.76","9023650350683.59","10087286946254.2","11119602000777.5","12445651088785.1","13919132452224.7","15301053470734.3","16779114378532.8","18344523394296.1","19820982315201.5","21387606580385.8","23266768925142","25361744188574.3",
"Cote d'Ivoire","CIV","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25425059803.1943","26295630334.241","26829109365.0079","27411900578.319","28224364026.6171","30869548836.8868","33864476853.9214","35738028259.2608","37922227855.0823","39092009045.2252","39139246186.8462","40046282349.5891","40001327483.5916","40190258306.7529","41780645868.3408","43823638218.3566","45834231464.6566","47896189536.6988","50069447928.2158","52091548227.3121","53761811464.18","52476906028.6953","59209529182.9281","65604358998.7044","72723969104.6157","80001283605.7493","87323360875.7564","95836748084.1399","105282429485.131",
"Cameroon","CMR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22962697169.8325","22835106958.1001","22631476932.088","21330004245.3917","22248190165.7368","23502849952.9593","24976941699.5115","26736797080.6503","28255042327.8595","29893209965.2918","31647428287.9209","33754298939.9019","35741073331.7777","38067498260.7043","41743191498.6719","43913230976.1834","46806458404.6931","50419995349.4685","53193999850.8436","54777997801.2816","57312925777.6225","60926183398.9526","64915780366.7996","69624785205.8479","75116280437.58","80210094836.2321","84856536734.2009","89538347743.414","95091741255.9701",
